'	O
The	O
Pentagon	O
said	EVENT
today	O
it	O
will	O
re-examine	O
the	O
question	EVENT
are	O
the	O
remains	O
inside	O
the	O
Tomb	O
of	O
the	O
Unknown	O
from	O
the	O
Vietnam	O
War	O
,	O
in	O
fact	O
,	O
known	EVENT
?	O

CBS	O
News	O
first	O
reported	EVENT
last	O
night	O
that	O
the	O
tomb	O
may	O
contain	EVENT
the	O
remains	O
of	O
Air	O
Force	O
pilot	O
Michael	O
Blassie	O
.	O

There	O
was	O
a	O
suspicion	EVENT
the	O
body	O
was	EVENT
Blassie	O
because	O
his	O
uniform	O
and	O
ID	O
card	O
were	O
found	EVENT
near	O
the	O
body	O
in	O
Vietnam	O
.	O

But	O
subsequently	O
,	O
they	O
were	O
lost	EVENT
.	O

Blassie	O
's	O
mother	O
now	O
wants	EVENT
the	O
remains	O
in	O
the	O
tomb	O
tested	EVENT
for	O
DNA	O
.	O
'	O
