'	O
Major	O
job	O
cuts	EVENT
at	O
AT	O
and	O
T.	O
The	O
long	O
distance	O
giant	O
slashing	EVENT
up	O
to	O
eighteen	O
thousand	O
jobs	O
,	O
freezing	EVENT
executive	O
salaries	O
and	O
shaking	EVENT
up	O
management	O
.	O

The	O
changes	EVENT
are	O
part	O
of	O
a	O
one	O
point	O
six	O
billion	O
dollar	O
cost	O
cutting	EVENT
initiative	EVENT
to	O
revitalize	EVENT
its	O
position	O
in	O
the	O
telecommunications	O
business	O
.	O

Earlier	O
AT	O
and	O
T	O
also	O
announced	EVENT
an	O
eighteen	O
percent	O
drop	EVENT
in	O
profits	EVENT
for	O
the	O
fourth	O
quarter	O
.	O

The	O
company	O
's	O
sales	O
force	O
applauded	EVENT
the	O
shake	EVENT
up	O
.	O

It	O
's	O
not	O
something	O
we	O
're	O
not	O
used	O
to	O
in	O
the	O
industry	O
.	O

But	O
I	O
think	EVENT
right	O
now	O
,	O
for	O
AT	O
and	O
T	O
and	O
the	O
people	O
here	O
,	O
it	O
's	O
fairly	O
intense	EVENT
as	O
you	O
might	O
w-	O
well	O
imagine	O
.	O

I	O
mean	O
look	O
at	O
the	O
stock	O
.	O

You	O
know	O
,	O
since	O
he	O
's	O
been	O
here	EVENT
the	O
stock	O
skyrocketed	EVENT
so	O
,	O
Yeah	O
I	O
think	EVENT
he	O
's	O
doing	EVENT
the	O
right	O
thing	O
.	O

I	O
think	EVENT
it	O
's	O
a	O
good	O
thing	O
that	O
they	O
're	O
finally	O
going	O
to	O
be	O
downsizing	EVENT
you	O
know	O
some	O
management	O
because	O
there	O
is	O
a	O
whole	O
lot	O
of	O
waste	EVENT
.	O

Good	O
news	EVENT
for	O
AT	O
and	O
T	O
today	O
.	O

I	O
think	EVENT
it	O
's	O
excellent	EVENT
for	O
the	O
company	O
.	O

But	O
investors	O
are	O
approaching	EVENT
the	O
changes	EVENT
with	O
caution	O
shares	O
of	O
AT	O
and	O
T	O
down	EVENT
nearly	O
four	O
at	O
sixty-one	O
and	O
a	O
half	O
.	O
'	O
